USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.2 119700  5652 ?        Ss   Dec06   0:03 /sbin/init auto noprompt
root        893  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_20]
root        896  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_21]
root        901  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_21]
root        902  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_22]
root        904  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_22]
root        908  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_23]
root        912  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_23]
root        915  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_24]
root        921  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_24]
root        923  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_25]
root        929  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_25]
root        930  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_26]
root        937  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_26]
root        938  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_27]
root        939  0.0  0.0      0     0 ?        S<   Dec06   0:00 [kpsmoused]
root        943  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_27]
root        946  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_28]
root        947  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_28]
root        954  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_29]
root        955  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_29]
root        962  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_30]
root        963  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_30]
root        970  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_31]
root        971  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_31]
root       1036  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_32]
root       1037  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_32]
root       1086  0.0  0.0      0     0 ?        S<   Dec06   0:00 [ttm_swap]
root       1087  0.0  0.0      0     0 ?        S<   Dec06   0:00 [bioset]
root       1130  0.0  0.0      0     0 ?        S<   Dec06   0:00 [bioset]
root       1131  0.0  0.0      0     0 ?        S<   Dec06   0:00 [bioset]
root       1643  0.0  0.0      0     0 ?        S<   Dec06   0:00 [kworker/0:1H]
root       1645  0.0  0.0      0     0 ?        S    Dec06   0:01 [jbd2/sda1-8]
root       1646  0.0  0.0      0     0 ?        S<   Dec06   0:00 [ext4-rsv-conver]
root       1684  0.0  0.0      0     0 ?        S    Dec06   0:00 [kauditd]
